id,lat,lon,user,uid,version,changeset,timestamp
4410978689,47.6186945,-122.3195600,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978690,47.6186961,-122.3195042,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978691,47.6196902,-122.3202500,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4410978692,47.6196908,-122.3201716,sctrojan79-import,2606959,1,42314210,2016-09-21T05:16:42Z
4452645623,47.6132023,-122.3165636,sctrojan79,2601744,1,42972781,2016-10-18T01:16:20Z
4452645624,47.6133649,-122.3164779,sctrojan79,2601744,2,42972879,2016-10-18T01:26:40Z
4452645625,47.6133801,-122.3165374,sctrojan79,2601744,1,42972781,2016-10-18T01:16:20Z
4452645626,47.6133983,-122.3165378,sctrojan79,2601744,1,42972781,2016-10-18T01:16:20Z
4452645627,47.6133988,-122.3164785,sctrojan79,2601744,1,42972781,2016-10-18T01:16:20Z
4452645628,47.6134156,-122.3162587,sctrojan79,2601744,1,42972781,2016-10-18T01:16:20Z
4452645629,47.6134157,-122.3162457,sctrojan79,2601744,2,42972879,2016-10-18T01:26:40Z
4452645630,47.6135362,-122.3162478,sctrojan79,2601744,2,42972879,2016-10-18T01:26:40Z
4452645631,47.6135363,-122.3162332,sctrojan79,2601744,2,42972879,2016-10-18T01:26:40Z
4452645632,47.6136709,-122.3162506,sctrojan79,2601744,2,42972879,2016-10-18T01:26:40Z
4452645633,47.6136710,-122.3162356,sctrojan79,2601744,2,42972879,2016-10-18T01:26:40Z
4452649006,47.6136472,-122.3165275,sctrojan79,2601744,1,42972879,2016-10-18T01:26:39Z
4452649007,47.6136612,-122.3165277,sctrojan79,2601744,1,42972879,2016-10-18T01:26:39Z
4452649008,47.6138004,-122.3165440,sctrojan79,2601744,1,42972879,2016-10-18T01:26:39Z
4452649009,47.6138192,-122.3165444,sctrojan79,2601744,1,42972879,2016-10-18T01:26:39Z
4454093205,47.6082643,-122.3192543,lukobe,137875,1,42996629,2016-10-18T22:07:25Z
4454093206,47.6082083,-122.3191873,lukobe,137875,1,42996629,2016-10-18T22:07:25Z
4454093207,47.6081667,-122.3191658,lukobe,137875,1,42996629,2016-10-18T22:07:25Z
4454093208,47.6081332,-122.3191618,lukobe,137875,1,42996629,2016-10-18T22:07:25Z
